match_number,stage,home,away,central_score,home_xg,away_xg,home_win_prob,draw_prob,away_win_prob,top_5_scorelines
53,Group Stage,Senegal,Norway,1-1,1.26,1.34,0.347,0.264,0.389,1-1 (12.5%); 0-1 (10.0%); 1-0 (9.3%); 1-2 (8.4%); 2-1 (7.9%)
54,Group Stage,Iraq,Norway,0-1,0.89,1.91,0.169,0.217,0.614,0-1 (11.6%); 0-2 (11.1%); 1-1 (10.3%); 1-2 (9.9%); 0-3 (7.1%)
55,Group Stage,Argentina,Algeria,1-0,1.88,0.96,0.588,0.223,0.189,1-0 (11.0%); 1-1 (10.6%); 2-0 (10.3%); 2-1 (9.9%); 3-0 (6.5%)
56,Group Stage,Argentina,Austria,1-0,1.69,1.03,0.53,0.241,0.229,1-1 (11.5%); 1-0 (11.2%); 2-1 (9.7%); 2-0 (9.5%); 0-1 (6.8%)
57,Group Stage,Argentina,Jordan,2-0,2.34,0.75,0.73,0.168,0.102,2-0 (12.5%); 1-0 (10.7%); 3-0 (9.8%); 2-1 (9.4%); 1-1 (8.0%)
58,Group Stage,Algeria,Austria,1-1,1.2,1.42,0.318,0.261,0.421,1-1 (12.4%); 0-1 (10.3%); 1-2 (8.8%); 1-0 (8.7%); 2-1 (7.4%)
59,Group Stage,Algeria,Jordan,1-0,1.66,1.03,0.521,0.244,0.236,1-1 (11.6%); 1-0 (11.2%); 2-1 (9.6%); 2-0 (9.3%); 0-1 (7.0%)
60,Group Stage,Austria,Jordan,1-0,1.77,0.93,0.572,0.232,0.196,1-0 (11.9%); 1-1 (11.1%); 2-0 (10.5%); 2-1 (9.8%); 0-0 (6.7%)
61,Group Stage,Portugal,DR Congo,1-0,1.9,0.92,0.603,0.219,0.177,1-0 (11.3%); 2-0 (10.8%); 1-1 (10.4%); 2-1 (9.9%); 3-0 (6.8%)
62,Group Stage,Portugal,Uzbekistan,1-0,1.91,0.86,0.621,0.216,0.163,1-0 (12.0%); 2-0 (11.4%); 1-1 (10.3%); 2-1 (9.8%); 3-0 (7.3%)
63,Group Stage,Portugal,Colombia,1-0,1.55,1.16,0.464,0.252,0.284,1-1 (12.0%); 1-0 (10.4%); 2-1 (9.3%); 2-0 (8.0%); 0-1 (7.7%)
64,Group Stage,DR Congo,Uzbekistan,1-1,1.35,1.25,0.391,0.263,0.346,1-1 (12.5%); 1-0 (10.0%); 0-1 (9.3%); 2-1 (8.5%); 1-2 (7.8%)
65,Group Stage,DR Congo,Colombia,0-1,1.09,1.68,0.247,0.242,0.512,1-1 (11.5%); 0-1 (10.5%); 1-2 (9.6%); 0-2 (8.8%); 1-0 (6.8%)
66,Group Stage,Uzbekistan,Colombia,0-1,1.02,1.69,0.228,0.241,0.531,1-1 (11.5%); 0-1 (11.2%); 1-2 (9.7%); 0-2 (9.5%); 1-0 (6.8%)
67,Group Stage,England,Croatia,1-0,1.65,1.13,0.496,0.244,0.26,1-1 (11.6%); 1-0 (10.3%); 2-1 (9.6%); 2-0 (8.5%); 0-1 (7.0%)
68,Group Stage,England,Ghana,2-0,2.24,0.77,0.706,0.18,0.115,2-0 (12.4%); 1-0 (11.0%); 2-1 (9.6%); 3-0 (9.2%); 1-1 (8.5%)
69,Group Stage,England,Panama,2-0,2.19,0.81,0.689,0.186,0.125,2-0 (12.0%); 1-0 (11.0%); 2-1 (9.7%); 1-1 (8.9%); 3-0 (8.8%)
