match_id,wc_year,team,opponent,shots,goals,xG,passes_total,passes_completed,pass_completion_pct,pressures
3857283,2022,Belgium,Morocco,10,0,0.642612082,703,604,85.91749644381224,107
3857283,2022,Morocco,Belgium,10,2,0.99110855,347,287,82.70893371757924,161
3857286,2022,Qatar,Ecuador,5,0,0.30418895050000005,468,382,81.62393162393163,99
3857286,2022,Ecuador,Qatar,6,2,1.1540112984,519,432,83.23699421965318,134
3857300,2022,Argentina,Saudi Arabia,15,1,2.491633446,646,542,83.90092879256966,107
3857300,2022,Saudi Arabia,Argentina,3,2,0.153461642,286,197,68.88111888111888,141
3857299,2022,South Korea,Ghana,21,2,1.3677928149999996,605,499,82.47933884297521,126
3857299,2022,Ghana,South Korea,7,3,1.1805358279999998,340,266,78.23529411764706,126
3857293,2022,Ghana,Uruguay,9,0,1.3926941409999998,493,384,77.89046653144015,146
3857293,2022,Uruguay,Ghana,12,2,1.6365584506000002,469,364,77.61194029850746,147
3857291,2022,Spain,Costa Rica,17,7,2.761923473,1090,1009,92.56880733944955,80
3857291,2022,Costa Rica,Spain,0,0,,250,172,68.8,149
3857281,2022,Croatia,Canada,13,4,2.6102110830000003,507,411,81.06508875739645,166
3857281,2022,Canada,Croatia,8,1,0.286795181,529,437,82.6086956521739,133
3857280,2022,Cameroon,Brazil,7,1,0.38336075199999997,333,254,76.27627627627628,140
3857280,2022,Brazil,Cameroon,21,0,2.378218864,593,512,86.3406408094435,132
3857279,2022,France,Australia,23,4,3.170495788,763,680,89.1218872870249,83
3857279,2022,Australia,France,4,1,0.32329254,475,394,82.94736842105263,105
3857262,2022,South Korea,Portugal,12,2,1.398982474,388,309,79.63917525773195,111
3857262,2022,Portugal,South Korea,13,1,0.973722266,619,534,86.26817447495961,83
